class,n,top1_acc,top5_acc,mean_top1_conf,most_common_top1_pred,most_common_top1_pred_ratio
abdomen,8,1.0,1.0,0.7488694936037064,abdomen,1.0
cochlear implant,9,1.0,1.0,0.9161546693907844,cochlear implant,1.0
number,12,1.0,1.0,0.9839059909184774,number,1.0
name,16,1.0,1.0,0.9040099866688251,name,1.0
month,14,1.0,1.0,0.6548513727528709,month,1.0
lunch,10,1.0,1.0,0.9267128109931946,lunch,1.0
lonely,9,1.0,1.0,0.9646496838993497,lonely,1.0
list,15,1.0,1.0,0.9530806581179301,list,1.0
late,16,1.0,1.0,0.9762749522924423,late,1.0
accept,12,1.0,1.0,0.7713399181763331,accept,1.0
hearing aid,9,1.0,1.0,0.8852279186248779,hearing aid,1.0
health,9,1.0,1.0,0.9321797026528252,health,1.0
headache,17,1.0,1.0,0.9205545081811792,headache,1.0
emergency,7,1.0,1.0,0.9742266110011509,emergency,1.0
drug,7,1.0,1.0,0.9908377953938076,drug,1.0
dizzy,8,1.0,1.0,0.9553555175662041,dizzy,1.0
dirty,13,1.0,1.0,0.9195092973800806,dirty,1.0
diaper,10,1.0,1.0,0.921108728647232,diaper,1.0
decide,18,1.0,1.0,0.7637979098492198,decide,1.0
day,15,1.0,1.0,0.9087575991948446,day,1.0
daughter,16,1.0,1.0,0.7040548333898187,daughter,1.0
damage,7,1.0,1.0,0.7077440108571734,damage,1.0
cousin,23,1.0,1.0,0.9086325194524683,cousin,1.0
our,7,1.0,1.0,0.8960867098399571,our,1.0
pneumonia,8,1.0,1.0,0.9326331540942192,pneumonia,1.0
police,16,1.0,1.0,0.9328238051384687,police,1.0
time,19,1.0,1.0,0.9060074843858418,time,1.0
year,22,1.0,1.0,0.8435892896218733,year,1.0
worse,9,1.0,1.0,0.9501330256462097,worse,1.0
wife,18,1.0,1.0,0.7143842975298563,wife,1.0
wash face,8,1.0,1.0,0.8653463497757912,wash face,1.0
wash,11,1.0,1.0,0.7671968991106207,wash,1.0
wallet,8,1.0,1.0,0.8055997118353844,wallet,1.0
towel,7,1.0,1.0,0.9343432528632027,towel,1.0
tooth,9,1.0,1.0,0.5559182233280606,tooth,1.0
tired,16,1.0,1.0,0.9162702783942223,tired,1.0
throat,8,1.0,1.0,0.5658606104552746,throat,1.0
psychologist,7,1.0,1.0,0.9671559589249747,psychologist,1.0
surgeon,8,1.0,1.0,0.8584591150283813,surgeon,1.0
support,10,1.0,1.0,0.889128816127777,support,1.0
stay,16,1.0,1.0,0.8881594464182854,stay,1.0
skin,8,1.0,1.0,0.794175811111927,skin,1.0
shower,12,1.0,1.0,0.976239745815595,shower,1.0
shoes,14,1.0,1.0,0.9187449600015368,shoes,1.0
shampoo,9,1.0,1.0,0.9776077469189962,shampoo,1.0
scared,13,1.0,1.0,0.6616439314988943,scared,1.0
require,11,1.0,1.0,0.8974774534052069,require,1.0
come,8,1.0,1.0,0.9224927946925163,come,1.0
yourself,10,1.0,1.0,0.9387042105197907,yourself,1.0
ago,12,1.0,1.0,0.7252736563483874,ago,1.0
address,8,1.0,1.0,0.8040935471653938,address,1.0
always,14,1.0,1.0,0.898558612380709,always,1.0
blind,13,1.0,1.0,0.9030477977716006,blind,1.0
bra,8,1.0,1.0,0.9924196228384972,bra,1.0
brain,7,1.0,1.0,0.7794712824480874,brain,1.0
bone,8,1.0,1.0,0.9506038576364517,bone,1.0
allergy,10,1.0,1.0,0.827974596619606,allergy,1.0
better,13,1.0,1.0,0.8058412510615128,better,1.0
body,11,1.0,1.0,0.8462759906595404,body,1.0
bank,7,1.0,1.0,0.7100074248654502,bank,1.0
appointment,13,1.0,1.0,0.7972622376221877,appointment,1.0
family,20,0.95,0.95,0.8746107816696167,family,0.95
hearing,20,0.95,1.0,0.749623529613018,hearing,0.95
son,18,0.9444444444444444,1.0,0.8549855169322755,son,0.9444444444444444
water,18,0.9444444444444444,1.0,0.8466596603393555,water,0.9444444444444444
paper,18,0.9444444444444444,1.0,0.8048171103000641,paper,0.9444444444444444
wait,18,0.9444444444444444,1.0,0.8671274334192276,wait,0.9444444444444444
read,17,0.9411764705882353,1.0,0.8198939070982092,read,0.9411764705882353
inform,17,0.9411764705882353,1.0,0.8582751891192268,inform,0.9411764705882353
sick,17,0.9411764705882353,1.0,0.8925511731820948,sick,0.9411764705882353
you,16,0.9375,1.0,0.8437863197177649,you,0.9375
good,16,0.9375,1.0,0.6656179297715425,good,0.9375
test,16,0.9375,0.9375,0.8250642903149128,test,0.9375
arrive,15,0.9333333333333333,0.9333333333333333,0.7581396132707596,arrive,0.9333333333333333
office,15,0.9333333333333333,1.0,0.7959142466386159,office,0.9333333333333333
plan,15,0.9333333333333333,1.0,0.6853500743707021,plan,0.9333333333333333
cough,14,0.9285714285714286,1.0,0.7610326962811607,cough,0.9285714285714286
hour,14,0.9285714285714286,0.9285714285714286,0.8155692581619535,hour,0.9285714285714286
sister,14,0.9285714285714286,1.0,0.7490187862089702,sister,0.9285714285714286
heart,14,0.9285714285714286,1.0,0.6819833921534675,heart,0.9285714285714286
today,14,0.9285714285714286,1.0,0.9833744423730033,today,0.9285714285714286
sad,14,0.9285714285714286,1.0,0.8968526593276432,sad,0.9285714285714286
talk,14,0.9285714285714286,1.0,0.7005502219711032,talk,0.9285714285714286
soap,13,0.9230769230769231,1.0,0.9441877007484436,soap,0.9230769230769231
never,13,0.9230769230769231,0.9230769230769231,0.7310268110953845,never,0.9230769230769231
hospital,13,0.9230769230769231,1.0,0.8884459825662466,hospital,0.9230769230769231
